date,Date,Open,High,Low,Close,Adj Close,Volume,spread,fake_price,fake_price_2,year,month,date,day,Close 30 day mean
2017-08-21,2017-08-21,345.820007,345.820007,331.850006,337.859985,337.859985,6495400.0,13.970000999999968,28.61582192962125,355.5220119674466,2017,August,21.0,Monday,
2017-08-22,2017-08-22,341.130005,342.23999,337.369995,341.350006,341.350006,4322000.0,4.86999499999996,28.227734891957272,43.65558047080455,2017,August,22.0,Tuesday,
2017-08-23,2017-08-23,338.98999,353.48999,338.299988,352.769989,352.769989,4954500.0,15.190001999999993,28.050653500114265,200.5223962178327,2017,August,23.0,Wednesday,
2017-08-24,2017-08-24,352.519989,356.660004,349.73999,352.929993,352.929993,4584700.0,6.920014000000037,29.170230257545636,186.46324589838542,2017,August,24.0,Thursday,
2017-08-25,2017-08-25,354.23999,355.690002,347.299988,348.049988,348.049988,3484000.0,8.390014000000008,29.31255644266647,497.21377283308993,2017,August,25.0,Friday,
2017-08-28,2017-08-28,347.27999900000003,347.350006,339.72000099999997,345.660004,345.660004,3764000.0,7.63000500000004,28.736632959188647,301.8572674170469,2017,August,28.0,Monday,
2017-08-29,2017-08-29,339.480011,349.049988,338.75,347.359985,347.359985,4073700.0,10.299987999999985,28.091201627446225,192.86129421685547,2017,August,29.0,Tuesday,
2017-08-30,2017-08-30,349.670013,353.47000099999997,347.0,353.179993,353.179993,3412900.0,6.470000999999968,28.934401201768377,40.813264192927875,2017,August,30.0,Wednesday,
2017-08-31,2017-08-31,353.549988,358.440002,352.820007,355.899994,355.899994,4072800.0,5.619995000000017,29.255460340753885,522.7160835180276,2017,August,31.0,Thursday,
2017-09-01,2017-09-01,356.119995,357.589996,353.690002,355.399994,355.399994,3049500.0,3.8999939999999924,29.4681225962083,624.3078618369855,2017,September,1.0,Friday,
2017-09-05,2017-09-05,353.799988,355.48999,345.890015,349.589996,349.589996,3835100.0,9.599974999999972,29.276147274238348,455.12958515961105,2017,September,5.0,Tuesday,
2017-09-06,2017-09-06,349.5,350.980011,341.559998,344.52999900000003,344.52999900000003,4091400.0,9.420012999999983,28.920333011278405,302.7094102170511,2017,September,6.0,Wednesday,
2017-09-07,2017-09-07,345.980011,352.480011,343.450012,350.609985,350.609985,4239200.0,9.029998999999975,28.629061898042245,486.3690119190703,2017,September,7.0,Thursday,
2017-09-08,2017-09-08,348.98999,349.77999900000003,342.299988,343.399994,343.399994,3257600.0,7.480011000000047,28.87813083949276,191.26921537784085,2017,September,8.0,Friday,
2017-09-11,2017-09-11,351.350006,363.709991,350.0,363.690002,363.690002,7667100.0,13.709991000000002,29.07341681554983,652.25606063886,2017,September,11.0,Monday,
2017-09-12,2017-09-12,364.48999,368.76001,360.399994,362.75,362.75,5972900.0,8.36001600000003,30.160720715529425,601.3157953713868,2017,September,12.0,Tuesday,
2017-09-13,2017-09-13,363.820007,368.070007,359.589996,366.230011,366.230011,4185200.0,8.48001099999999,30.105281140502544,308.56423561260766,2017,September,13.0,Wednesday,
2017-09-14,2017-09-14,364.329987,377.959991,362.630005,377.640015,377.640015,7202500.0,15.32998600000002,30.14748082985617,651.2276974385061,2017,September,14.0,Thursday,
2017-09-15,2017-09-15,374.51001,380.0,372.700012,379.809998,379.809998,5420500.0,7.299987999999985,30.98985466454136,434.77273590244613,2017,September,15.0,Friday,
2017-09-18,2017-09-18,380.25,389.609985,377.679993,385.0,385.0,7188000.0,11.92999199999997,31.464825829867276,472.78488116154864,2017,September,18.0,Monday,
2017-09-19,2017-09-19,380.0,382.390015,373.570007,375.100006,375.100006,6451900.0,8.82000800000003,31.444138896382814,275.09598415901013,2017,September,19.0,Tuesday,
2017-09-20,2017-09-20,373.0,378.25,371.070007,373.910004,373.910004,4902800.0,7.1799930000000245,30.864904758817868,718.2531941386361,2017,September,20.0,Wednesday,
